"sheet","fte","nj","after","nj_after"
148,22.5,1,1,1
149,10,1,0,0
149,13,1,1,1
150,13.75,1,0,0
150,22,1,1,1
152,42.5,1,0,0
152,18.75,1,1,1
156,15.5,1,0,0
156,11,1,1,1
157,12.5,1,0,0
157,16,1,1,1
158,5.5,1,0,0
158,5,1,1,1
159,12,1,0,0
159,12.5,1,1,1
161,20.5,1,0,0
161,32,1,1,1
162,20,1,0,0
162,18,1,1,1
163,21,1,0,0
163,18,1,1,1
164,19,1,0,0
164,12.5,1,1,1
165,25,1,0,0
165,18.5,1,1,1
166,24,1,0,0
166,17.5,1,1,1
168,15,1,0,0
168,16,1,1,1
169,28.5,1,0,0
169,23,1,1,1
170,20,1,0,0
170,30,1,1,1
171,18,1,0,0
171,16.25,1,1,1
172,12,1,0,0
172,18.5,1,1,1
173,26,1,0,0
173,26,1,1,1
174,21,1,0,0
174,30,1,1,1
176,25.5,1,0,0
176,33.75,1,1,1
178,19,1,0,0
178,6,1,1,1
179,8,1,0,0
179,7,1,1,1
180,9.5,1,0,0
180,8.75,1,1,1
182,10.5,1,0,0
182,7.5,1,1,1
183,14,1,0,0
183,20,1,1,1
185,6.5,1,0,0
185,5,1,1,1
186,20,1,0,0
186,21,1,1,1
187,14,1,0,0
187,13.75,1,1,1
189,11.5,1,0,0
189,9.5,1,1,1
190,26,1,0,0
190,22,1,1,1
192,25,1,0,0
192,19.5,1,1,1
193,7.5,1,0,0
193,8.5,1,1,1
195,15,1,0,0
195,20.5,1,1,1
196,17.5,1,0,0
196,15,1,1,1
197,28,1,0,0
197,15.5,1,1,1
199,6,1,0,0
199,12.5,1,1,1
200,30,1,0,0
200,25,1,1,1
201,16.5,1,0,0
201,27,1,1,1
202,37,1,0,0
202,18.5,1,1,1
203,15,1,0,0
203,21,1,1,1
204,14.25,1,0,0
204,18.75,1,1,1
207,13,1,0,0
207,11.5,1,1,1
208,28,1,0,0
208,21,1,1,1
209,22,1,0,0
209,24.5,1,1,1
210,9.5,1,0,0
210,7,1,1,1
211,17,1,0,0
211,19.5,1,1,1
212,19.75,1,0,0
212,27.5,1,1,1
213,14.5,1,0,0
213,20.75,1,1,1
214,17,1,0,0
214,17.5,1,1,1
215,15,1,0,0
215,25,1,1,1
216,7.5,1,0,0
216,11,1,1,1
217,8.5,1,0,0
217,6,1,1,1
218,9,1,0,0
218,6.5,1,1,1
219,7.5,1,0,0
219,13.5,1,1,1
220,10.5,1,0,0
220,9,1,1,1
221,15,1,0,0
221,8.5,1,1,1
222,14,1,0,0
222,9.5,1,1,1
223,12,1,0,0
223,13,1,1,1
225,16.5,1,0,0
225,24.5,1,1,1
226,11,1,0,0
226,13,1,1,1
228,17.25,1,0,0
228,20.5,1,1,1
229,23,1,0,0
229,27.5,1,1,1
230,12.5,1,0,0
230,23.5,1,1,1
232,21,1,0,0
232,23,1,1,1
233,22.5,1,0,0
233,18.5,1,1,1
234,5,1,0,0
234,12,1,1,1
237,17.5,1,0,0
237,17.5,1,1,1
238,11,1,0,0
238,32.5,1,1,1
239,17,1,0,0
239,9.5,1,1,1
240,32.5,1,0,0
240,22.5,1,1,1
242,30,1,0,0
242,17,1,1,1
243,19.5,1,0,0
243,18,1,1,1
244,27,1,0,0
244,22,1,1,1
245,19,1,0,0
245,14,1,1,1
247,20,1,0,0
247,20,1,1,1
248,16,1,0,0
248,17,1,1,1
249,9,1,0,0
249,16,1,1,1
250,3,1,0,0
250,4,1,1,1
253,10.5,1,0,0
253,8,1,1,1
258,15,1,0,0
258,29,1,1,1
259,19,1,0,0
259,22.5,1,1,1
260,20,1,0,0
260,17,1,1,1
262,13.5,1,0,0
262,11.25,1,1,1
264,5,1,0,0
264,11.5,1,1,1
267,16.5,1,0,0
267,42.5,1,1,1
268,19,1,0,0
268,21.25,1,1,1
269,7,1,0,0
269,11.5,1,1,1
271,6.5,1,0,0
271,7.5,1,1,1
272,9.5,1,0,0
272,9,1,1,1
273,9,1,0,0
273,7.5,1,1,1
274,7.5,1,0,0
274,6.5,1,1,1
275,6,1,0,0
275,5,1,1,1
276,10,1,0,0
276,12.5,1,1,1
277,9.5,1,0,0
277,8,1,1,1
278,5,1,0,0
278,4.5,1,1,1
284,16.5,1,0,0
284,12,1,1,1
285,15.5,1,0,0
285,10.5,1,1,1
286,8.5,1,0,0
286,9.5,1,1,1
287,12,1,0,0
287,9.5,1,1,1
288,10,1,0,0
288,9.5,1,1,1
289,8,1,0,0
289,8,1,1,1
290,14,1,0,0
290,11.5,1,1,1
291,14,1,0,0
291,13,1,1,1
292,17.5,1,0,0
292,20.5,1,1,1
296,13,1,0,0
296,8.5,1,1,1
297,16.5,1,0,0
297,30,1,1,1
299,7,1,0,0
299,12,1,1,1
301,14,1,0,0
301,5.5,1,1,1
303,27.5,1,0,0
303,29.5,1,1,1
304,20,1,0,0
304,17.5,1,1,1
305,10,1,0,0
305,16,1,1,1
307,26.25,1,0,0
307,37.5,1,1,1
310,14,1,0,0
310,14.5,1,1,1
312,7,1,0,0
312,4,1,1,1
314,14,1,0,0
314,18,1,1,1
316,22.5,1,0,0
316,19,1,1,1
317,4,1,0,0
317,4,1,1,1
318,8.5,1,0,0
318,10,1,1,1
319,5.5,1,0,0
319,24,1,1,1
320,9.5,1,0,0
320,7,1,1,1
321,10,1,0,0
321,9.5,1,1,1
322,14.5,1,0,0
322,14.5,1,1,1
324,43,1,0,0
324,41.5,1,1,1
325,11.5,1,0,0
325,8.5,1,1,1
326,40.5,1,0,0
326,22.5,1,1,1
330,12,1,0,0
330,13,1,1,1
333,10.25,1,0,0
333,13,1,1,1
334,15,1,0,0
334,10,1,1,1
336,34,1,0,0
336,20,1,1,1
337,19.75,1,0,0
337,27.5,1,1,1
339,21,1,0,0
339,9.5,1,1,1
340,21,1,0,0
340,23.5,1,1,1
341,5.5,1,0,0
341,6.5,1,1,1
343,13,1,0,0
343,9.5,1,1,1
349,16,1,0,0
349,10,1,1,1
350,12.5,1,0,0
350,15,1,1,1
351,15.75,1,0,0
351,20,1,1,1
354,17.5,1,0,0
354,12.5,1,1,1
356,16.5,1,0,0
356,14,1,1,1
357,14.5,1,0,0
357,24,1,1,1
359,11,1,0,0
359,13,1,1,1
360,15.5,1,0,0
360,21,1,1,1
361,12.5,1,0,0
361,15.5,1,1,1
363,12.5,1,0,0
363,17.5,1,1,1
364,13.5,1,0,0
364,16,1,1,1
366,10.5,1,0,0
366,10.5,1,1,1
368,10,1,0,0
368,12.5,1,1,1
370,25.75,1,0,0
370,28.5,1,1,1
371,23.5,1,0,0
371,22,1,1,1
373,20,1,0,0
373,25.5,1,1,1
375,30,1,0,0
375,12.5,1,1,1
376,9,1,0,0
376,8.5,1,1,1
377,15,1,0,0
377,17,1,1,1
378,14,1,0,0
378,27.5,1,1,1
379,26,1,0,0
379,31,1,1,1
380,17.5,1,0,0
380,22,1,1,1
381,20,1,0,0
381,22.5,1,1,1
383,8,1,0,0
383,8,1,1,1
385,23,1,0,0
385,22,1,1,1
386,9.5,1,0,0
386,19,1,1,1
391,17.5,1,0,0
391,15.5,1,1,1
393,9,1,0,0
393,20,1,1,1
396,32,1,0,0
396,23,1,1,1
397,18,1,0,0
397,13.5,1,1,1
398,20.5,1,0,0
398,32.5,1,1,1
399,17,1,0,0
399,27,1,1,1
400,23.5,1,0,0
400,20,1,1,1
401,11,1,0,0
401,18.5,1,1,1
402,16,1,0,0
402,19.5,1,1,1
405,14.5,1,0,0
405,9,1,1,1
406,29.5,1,0,0
406,28,1,1,1
409,33,1,0,0
409,7.5,1,1,1
410,17.5,1,0,0
410,17.5,1,1,1
411,18,1,0,0
411,22,1,1,1
412,8.5,1,0,0
412,6.5,1,1,1
413,18,1,0,0
413,10,1,1,1
414,18,1,0,0
414,17.5,1,1,1
415,24,1,0,0
415,19,1,1,1
417,18,1,0,0
417,21.5,1,1,1
418,37.5,1,0,0
418,17.5,1,1,1
419,8,1,0,0
419,7.5,1,1,1
421,25,1,0,0
421,28.5,1,1,1
422,3.5,1,0,0
422,10,1,1,1
423,7,1,0,0
423,20.75,1,1,1
424,6.75,1,0,0
424,13.5,1,1,1
426,19.5,1,0,0
426,17.5,1,1,1
427,11,1,0,0
427,17.5,1,1,1
428,16.5,1,0,0
428,22,1,1,1
430,32.5,0,0,0
430,24,0,1,0
432,47.5,0,0,0
432,30,0,1,0
434,40,0,0,0
434,33.5,0,1,0
435,19.75,0,0,0
435,16,0,1,0
438,4.5,0,0,0
438,6.5,0,1,0
441,35,0,0,0
441,15,0,1,0
443,13.5,0,0,0
443,15,0,1,0
444,22,0,0,0
444,27.5,0,1,0
445,67.5,0,0,0
445,24,0,1,0
448,17,0,0,0
448,21.5,0,1,0
449,12.5,0,0,0
449,22.5,0,1,0
450,12.5,0,0,0
450,31.5,0,1,0
451,18.5,0,0,0
451,30.5,0,1,0
454,5.5,0,0,0
454,9,0,1,0
455,6,0,0,0
455,9,0,1,0
458,7,0,0,0
458,6.5,0,1,0
459,15,0,0,0
459,10,0,1,0
462,12.5,0,0,0
462,13.5,0,1,0
468,55,0,0,0
468,25,0,1,0
469,21.5,0,0,0
469,26.5,0,1,0
470,25.5,0,0,0
470,23,0,1,0
471,35,0,0,0
471,23.5,0,1,0
472,38.5,0,0,0
472,20.5,0,1,0
473,18.5,0,0,0
473,33.5,0,1,0
474,10.5,0,0,0
474,15,0,1,0
475,29,0,0,0
475,18,0,1,0
476,21,0,0,0
476,20,0,1,0
477,22,0,0,0
477,16,0,1,0
478,44.5,0,0,0
478,23,0,1,0
481,13.75,0,0,0
481,17,0,1,0
483,8.5,0,0,0
483,10.5,0,1,0
485,5.5,0,0,0
485,10,0,1,0
487,13,0,0,0
487,16,0,1,0
488,26.5,0,0,0
488,12.5,0,1,0
489,16.5,0,0,0
489,11.5,0,1,0
490,16.25,0,0,0
490,11,0,1,0
492,10,0,0,0
492,11.5,0,1,0
493,33,0,0,0
493,15,0,1,0
495,18,0,0,0
495,18,0,1,0
496,17.5,0,0,0
496,15,0,1,0
498,25,0,0,0
498,23.75,0,1,0
499,14,0,0,0
499,15.5,0,1,0
501,21.5,0,0,0
501,37.5,0,1,0
503,14.5,0,0,0
503,38.25,0,1,0
509,11,0,0,0
509,10.5,0,1,0
511,12,0,0,0
511,9.5,0,1,0
514,15,0,0,0
514,31,0,1,0
515,15,0,0,0
515,14.5,0,1,0
516,17.25,0,0,0
516,8,0,1,0
521,12.5,0,0,0
521,6,0,1,0
522,17,0,0,0
522,14.5,0,1,0
